Date,Close/Last,Open,High,Low
06/13/2025,19406.83,19450.92,19591.87,19367.42
06/12/2025,19662.48,19578.87,19690.61,19553.56
06/11/2025,19615.88,19779.35,19800.46,19551.34
06/10/2025,19714.99,19620.11,19730.38,19539.09
06/09/2025,19591.24,19573.14,19637.56,19531.10
06/06/2025,19529.95,19526.99,19593.18,19464.84
06/05/2025,19298.45,19518.20,19610.51,19226.22
06/04/2025,19460.49,19434.94,19493.45,19359.09
06/03/2025,19398.96,19288.66,19459.28,19224.70
06/02/2025,19242.61,19063.06,19252.71,18985.30
05/30/2025,19113.77,19131.22,19157.78,18847.74
05/29/2025,19175.87,19389.39,19389.39,19091.54
05/28/2025,19100.94,19232.62,19276.83,19084.38
05/27/2025,19199.16,19014.44,19210.95,18961.69
05/23/2025,18737.21,18622.38,18841.52,18599.69
05/22/2025,18925.73,18888.05,19061.11,18840.34
05/21/2025,18872.64,19002.94,19241.41,18799.20
05/20/2025,19142.71,19132.06,19186.68,19015.63
05/19/2025,19215.46,18937.42,19227.22,18937.42
05/16/2025,19211.10,19151.54,19213.42,19038.48
